Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-May-2022,936.15,954.25,935.00,938.05,944.313784035501013532,36506,3114,34473119.00,11350,31.09,19.25,1.90
18-May-2022,942.00,961.00,942.00,957.90,953.290699449317223807,170334,5819,162377818.00,117138,68.77,19.00,15.90
17-May-2022,930.10,941.15,916.30,938.00,926.412165051746679537,81841,3522,75818498.00,25384,31.02,24.85,7.90
16-May-2022,934.00,944.00,927.35,933.10,934.649107420714629247,35347,2219,33037042.00,7039,19.91,16.65,-0.90
13-May-2022,920.60,950.00,920.00,932.85,931.584692215828900227,92110,4933,85808266.00,49238,53.46,30.00,12.25
12-May-2022,935.00,937.00,915.65,921.10,924.838277254374158815,92875,4449,85894355.00,45308,48.78,21.35,-13.90
11-May-2022,890.00,942.50,890.00,937.90,929.192484551218961261,247916,7710,230361684.00,143462,57.87,52.50,47.90
10-May-2022,934.00,935.80,919.00,926.25,926.999286045764466497,28013,1656,25968031.00,9122,32.56,16.80,-7.75
9-May-2022,935.00,941.70,922.00,937.55,935.206240343076971588,63426,3234,59316391.00,20192,31.84,19.70,2.55
6-May-2022,934.05,946.10,925.70,935.25,936.598467230941598486,106213,4618,99478933.00,24480,23.05,20.40,1.20
5-May-2022,960.00,967.05,943.40,951.95,957.129551761441136352,106305,3113,101747657.00,69955,65.81,23.65,-8.05
4-May-2022,979.00,981.00,946.95,957.35,971.682704998274514222,709945,6009,689841278.00,659025,92.83,34.05,-21.65
2-May-2022,975.00,989.55,971.65,976.80,981.248050053544475643,118593,3301,116369150.00,35874,30.25,17.90,1.80
29-April-2022,983.30,994.00,977.60,981.85,984.637578862344731231,137423,3796,135311850.00,55707,40.54,16.40,-1.45
28-April-2022,987.00,990.00,978.00,982.30,983.020341463414634146,20500,1254,20151917.00,4033,19.67,12.00,-4.70
27-April-2022,975.00,980.45,963.80,977.35,972.812834910957805230,93495,3389,90953136.00,67139,71.81,16.65,2.35
26-April-2022,954.00,980.15,954.00,978.50,971.184228921911290504,44347,2564,43069107.00,15222,34.32,26.15,24.50
25-April-2022,960.05,963.20,946.60,953.65,955.424411124885967579,42751,2574,40845349.00,15589,36.46,16.60,-6.40
22-April-2022,998.55,998.55,959.35,967.00,975.985046886405749901,178090,6431,173813177.00,126488,71.02,39.20,-31.55
21-April-2022,1027.40,1027.40,996.80,998.20,1002.541419383955771183,44315,1745,44427623.00,14157,31.95,30.60,-29.20
